wid,gain_z,jump
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,0
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,0
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,0
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,0
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,0
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,0
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,0
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,0
w01e39c3,-0.16357533384943482,0
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,0
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,0
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
w01e39c3,-0.16357533384943482,1
