wid,model,nll,β_term,cost,ε,β_select,β_expand
51,OptimalPlus,516.2370849614379,1.1139753932135892,0.0,0.010000000000000371,0.17089843731451682,0.0
510,OptimalPlus,540.1636736920428,0.16974711147078791,0.05,0.010000000000009644,11.856373434889734,0.0
512,OptimalPlus,482.88341610249716,2849.280864693625,0.0,0.031992942561763986,6.665039019976,0.0
513,OptimalPlus,445.6619412416827,13.078580672667387,0.0,0.13070800882310377,0.26855468749906664,0.0
52,OptimalPlus,549.331423355412,7.747901964588559,0.0,0.039387195068368214,0.09765615427711083,0.0
53,OptimalPlus,515.781730431479,1523.132776452524,0.0,0.01,36.41357421853147,0.0
54,OptimalPlus,525.4969831715083,2.2709407499910568,0.0,0.010000000000000092,2.2644042664858945,0.0
55,OptimalPlus,516.7329946768361,718.5594626931385,0.0,0.03216095303593764,29.49218750221115,0.0
56,OptimalPlus,427.29307717788663,0.258637146062771,1.0,0.010000000000004795,0.936025715482706,0.0
57,OptimalPlus,393.10132308044916,0.13140326872798536,0.65,0.010000000000028202,1.6778773380015581,0.0
58,OptimalPlus,432.54015465708153,0.13559932620287188,0.65,0.010000000000013847,1.0207123472737887,0.0
59,OptimalPlus,500.7633870194116,0.14911812340893918,0.8,0.010000000000014131,1.0011255760328153,0.0
61,OptimalPlus,37.18437935445188,361.95484810294863,0.5,0.10490111754957507,12.54090818300736,0.0
610,OptimalPlus,105.75632080715528,0.6269803248291655,4.0,0.09529223625749109,19.523946924336318,0.0
611,OptimalPlus,167.70148440149066,0.520772154076058,4.0,0.27533913713235003,0.1452601561083906,0.0
612,OptimalPlus,100.13997501341153,4.180669254862277,4.0,0.3508389579124662,4.63541032526203,0.0
613,OptimalPlus,105.1445384562776,0.011480650250876735,100.0,0.2716104605308033,0.4050956580835577,0.0
62,OptimalPlus,223.13753385726207,52.00053311145165,3.7,0.5043197611399711,8.971411048134592e-136,0.0
63,OptimalPlus,190.88717551985934,0.6049244683016373,3.3,0.6039904197464864,251554.0019959854,0.0
64,OptimalPlus,167.1130264603227,8812.956932186513,2.35,0.49320960336755154,1135.945673601683,0.0
65,OptimalPlus,168.26847818181253,0.5399510914585697,4.0,0.5172386838412919,20.371844095545253,0.0
66,OptimalPlus,177.78336814826613,0.4590809859891941,4.0,0.01000000000001878,0.4336000564463147,0.0
67,OptimalPlus,159.74040980932867,380.18918146410266,3.75,0.5835479509877861,11.906311867495582,0.0
68,OptimalPlus,128.9314923449098,0.8309942709803878,4.0,0.3556008442114415,6393.00962295709,0.0
69,OptimalPlus,124.78044515043827,0.43963214161688624,4.0,0.010000000000113758,6.326063854435153,0.0
71,OptimalPlus,155.25200962421636,0.0,0.15,0.4002446129411839,938.8576411676326,0.0
710,OptimalPlus,75.46696838093284,0.07011000832390439,100.0,0.6582278885971812,24.90234363263898,0.0
711,OptimalPlus,103.3063835684655,4.309738901461343,4.0,0.5178584366502454,5.480979531768254,0.0
712,OptimalPlus,109.5538525103344,0.8910996176302572,4.0,0.26708896144290173,0.829631325168073,0.0
713,OptimalPlus,123.7251334550701,3.621443012035232,4.0,0.46615521253018705,12.015642018702684,0.0
72,OptimalPlus,130.08670208623627,461.864100845223,4.0,0.63036213177954,1.7990479403405408,0.0
73,OptimalPlus,122.79422409929015,0.4011008977184451,4.0,0.010000000000537572,3.2702390460169433,0.0
74,OptimalPlus,112.49031617873565,0.48038300417279917,4.0,0.010000000016235154,0.7510665250797666,0.0
75,OptimalPlus,120.80004533755032,1146.9315864510786,3.95,0.6261941743054638,20.513158394394143,0.0
76,OptimalPlus,91.83105798944663,3.308627709735985,4.0,0.3724163170446601,271.9510133565407,0.0
77,OptimalPlus,98.23431239875693,3.0471629704687384,4.0,0.4938429716557538,15.927765717607189,0.0
78,OptimalPlus,84.46074254820769,0.012355956668833903,100.0,0.010000000004364804,33.203125877521344,0.0
79,OptimalPlus,78.12105481125205,0.029327284734349757,100.0,0.5461285021180676,33.20312500821886,0.0
81,OptimalPlus,432.27553573414656,0.14243047518286853,0.5,0.010000000000001558,3.450475178982901,0.0
810,OptimalPlus,294.89964031128164,0.043672866161418245,0.05,0.01,63.00748890372514,0.0
811,OptimalPlus,335.23686460667636,0.05595651353060492,0.05,0.01,47.49488884392968,0.0
812,OptimalPlus,468.3218631348048,0.4022782734674303,0.05,0.1458408930819199,6.4471022414194366,0.0
813,OptimalPlus,462.6390864106599,0.11239462106227831,0.05,0.01,6.1781283122360975,0.0
82,OptimalPlus,544.0968226461181,0.18872399555301067,0.0,0.01,48.33984374999995,0.0
83,OptimalPlus,488.48874619685455,0.4039345147994368,0.0,0.09351570578284217,8.300781249999961,0.0
84,OptimalPlus,394.4002029320866,0.14597327225182202,0.9,0.010000000000301094,1.5975952044819537,0.0
85,OptimalPlus,328.0806037487855,1.294539519559995,1.5,0.3278210285354325,2.0041031556054154,0.0
86,OptimalPlus,471.91479522352574,0.14655795288808524,0.25,0.010000000000003279,2.644226392406709,0.0
87,OptimalPlus,543.5507952572676,0.18776149474036227,0.0,0.01000000000000055,7.714843749971327,0.0
88,OptimalPlus,343.5942540862831,0.05759468685490388,0.05,0.01,80.10577378060549,0.0
89,OptimalPlus,268.2414182519332,0.24084073391243566,2.4,0.010000000001478803,0.5679864487844931,0.0
