wid,gain_z,jump
w001225a,0.22994904310837708,0
w001225a,0.22060489648557796,0
w001225a,0.2327013474657534,0
w001225a,-0.13786539138568704,0
w001225a,-1.3392975740852326,0
w001225a,0.029427782595927758,0
w001225a,0.025266572171531818,0
w001225a,0.1964080836133343,0
w001225a,-0.11984390864516445,0
w001225a,-0.09781765196233183,0
w001225a,0.030335114192281035,0
w001225a,-1.0669729460066395,0
w001225a,1.9194082972608812,1
w001225a,0.03994031419457808,1
w001225a,0.030835710935065232,0
w001225a,0.030335114192281035,0
w001225a,-0.1276031581584106,0
w001225a,-0.24549369108585628,0
w001225a,-0.22196564417459821,0
w001225a,-1.113027846343478,0
w001225a,0.011163823308217522,0
w001225a,0.18501950771485717,0
w001225a,1.9220589179048562,1
w001225a,0.020072880965077446,1
w001225a,0.27562751816010866,0
w001225a,-1.1280457486272224,0
w001225a,-1.415388278989542,0
w001225a,,0
w001225a,0.030335114192281035,0
w001225a,0.030335114192281035,0
w001225a,-0.6890224051990683,0
w001225a,-0.06678065390927433,0
w001225a,0.027153587237132532,0
w001225a,1.0070853994436353,0
w001225a,1.7297359067836673,0
w001225a,0.030335114192281035,0
w001225a,-0.45023775888750805,0
w00e45aa,-0.056604460747208894,0
w00e45aa,0.4097248706353704,0
w00e45aa,1.2026701112170897,0
w00e45aa,3.2413503462354125,0
w00e45aa,-0.9408225668231998,0
w00e45aa,3.0499346667105036,0
w00e45aa,-2.9492166989026227,0
w00e45aa,4.01994938367842,1
w00e45aa,0.8975524855735829,1
w00e45aa,0.030335114192281035,0
w00e45aa,-2.5998001724341515,0
w00e45aa,-3.682090330349364,0
w00e45aa,,0
w00e45aa,,0
w00e45aa,,0
w00e45aa,0.03033511419224461,0
w00e45aa,2.577512134349267,0
w00e45aa,3.7878142655851597,1
w00e45aa,0.030335114192281035,0
w00e45aa,-1.239178225526954,0
w00e45aa,0.030335114192281035,0
w00e45aa,0.6147622568411107,0
w00e45aa,-0.6294513928069108,0
w00e45aa,-0.30655867188228947,0
w00e45aa,-0.5784139905144612,0
